 l	b	Vlsr	...
 18.46  -0.00    56.5  swa+04    0.77   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   11.9    4.7    65.9   11.2    4.4    63.3   11.9   4.7     65.9 
 18.60  -0.30    71.1  pbd+03    2.40   2.70  pbd+03   3.4    1.0    rus03  -100000    -100000    -100000   -100000     40.9  -100000   -100000     40.9  -100000   -100000     40.9 
 18.66  -0.06    44.1  swa+04    0.43   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.5    5.2    56.1   11.8    4.9    54.0   12.5   5.2     56.1 
 18.70   2.00    26.6  pbd+03   88.00   2.70  pbd+03   2.0    0.2    rus03   knear   pdd04    2.5    6.2    95.5  -100000   -100000     95.5  -100000   -100000     95.5 
 18.90  -0.50    65.5  pbd+03   15.70   2.70  pbd+03   3.4    1.0    rus03   knear   pdd04    4.6    4.4    76.6  -100000   -100000     76.6  -100000   -100000     76.6 
 18.90  -0.40    68.0  pbd+03   18.50   2.70  pbd+03   3.4    1.0    rus03   knear   pdd04    4.7    4.3    80.9  -100000   -100000     80.9  -100000   -100000     80.9 
 18.95  -0.02    52.3    ab09    2.16   4.85     PMN   3.4    1.0    rus03   knear    ab09    4.0    4.9    40.3  -100000   -100000     40.3  -100000   -100000     40.3 
 19.00  -0.00    48.7  pbd+03    2.60   2.70  pbd+03   3.4    1.0    rus03   knear   pdd04    3.8    5.0    42.0  -100000   -100000     42.0  -100000   -100000     42.0 
 19.00  -0.40    65.8  pbd+03    7.10   2.70  pbd+03   3.4    1.0    rus03   knear    ab09    4.6    4.4    58.8  -100000   -100000     58.8  -100000   -100000     58.8 
 19.00  -0.60    68.2  pbd+03    2.00   2.70  pbd+03   3.4    1.0    rus03   knear    ab09    4.7    4.3    38.5  -100000   -100000     38.5  -100000   -100000     38.5 
 19.07  -0.28    64.2  swa+04    3.40   4.86  swa+04   3.4    1.0    rus03   knear  swa+04    4.6    4.4    46.9  -100000   -100000     46.9  -100000   -100000     46.9 
 19.10  -0.30    66.5  pbd+03   25.00   2.70  pbd+03   3.4    1.0    rus03   knear   pdd04    4.7    4.4    89.4  -100000   -100000     89.4  -100000   -100000     89.4 
