No	Name	PK		Dist	S5GHz	Diam	Tb	Rad	Mi	DMi	DTb
88	NGC4361	294+43.1 	1.50 	207	114.0 	1.13 	0.415 	7e-01 	1.60 	0.95
89	HE2-73	296-03.1 	6.30 	76 	4.0 	336.00 	0.061 	1e-01 	4.18 	4.62
90	NGC4071	298-04.1 	1.20 	26 	63.4 	0.46 	0.184 	6e-02 	4.20 	2.25
91	HE2-86	300-02.1 	6.30 	125 	3.6 	682.00 	0.055 	1e-01 	3.45 	4.12
92	IC4191	304-04.1 	3.30 	172 	14.0 	62.00 	0.112 	2e-01 	2.42 	2.23
93	TH2-A	306-00.1 	0.10 	60 	24.4 	7.12 	0.006 	4e-05 	3.45 	2.50
94	HE2-105	308-12.1 	5.30 	14 	35.0 	0.81 	0.450 	7e-01 	5.99 	3.42
95	HE2-102	311+02.1 	5.60 	33 	9.0 	28.80 	0.122 	2e-01 	5.20 	4.39
96	NGC5307	312+10.1 	2.60 	95 	12.6 	42.30 	0.079 	7e-02 	3.16 	2.79
97	HE2-107	312-01.1 	2.80 	65 	10.0 	45.90 	0.068 	5e-02 	3.85 	3.42
98	HE2-131	315-13.1 	2.30 	325 	6.0 	638.00 	0.033 	3e-02 	2.13 	2.52
99	HE2-108	316+08.1 	3.50 	32 	11.0 	18.70 	0.093 	7e-02 	5.10 	4.11
100	HE2-138	320-09.1 	2.10 	76 	7.0 	110.00 	0.036 	1e-02 	3.82 	3.73
101	HE2-115	321+02.1 	4.20 	156 	3.0	1230.00 0.031 	3e-02 	3.24 	4.12
102	NGC5979	322-05.1 	5.80 	117 	8.0 	129.00 	0.112 	3e-01 	3.12 	3.10
103	HE2-123	323+02.1 	6.10 	110 	4.6 	367.00 	0.068 	1e-01 	3.50 	3.91
104	HE2-132	323-02.1 	5.80 	25 	18.0 	5.45 	0.253 	4e-01 	5.23 	3.68
105	NGC5882	327+10.1 	1.90 	334 	14.4 	114.00 	0.066 	7e-02 	1.83 	1.79
106	HE2-140	327-01.2 	6.90 	80 	2.6 	836.00 	0.043 	7e-02 	4.38 	5.35
107	HE2-142	327-02.1 	3.70 	65 	3.4 	397.00 	0.030 	2e-02 	4.58 	5.16
108	HE2-149	329-02.1 	9.90 	10 	3.0 	78.50 	0.072 	7e-02	10.25 	9.66
109	NGC5873	331+16.1 	7.50 	48 	5.4 	116.00 	0.098 	2e-01 	4.83 	4.75
110	IC4642	334-09.1 	2.80 	60 	15.4 	17.90 	0.105 	9e-02 	3.71 	2.98
111	HE2-186	336-05.1 	4.50 	21 	3.0 	165.00 	0.033 	1e-02 	7.51 	7.67
112	HE2-155	338+05.1 	5.60 	70 	14.6 	23.20 	0.198 	5e-01 	3.51 	2.90
113	NGC6326	338-08.1 	3.90 	70 	11.8 	35.50 	0.112 	1e-01 	3.63 	3.14
114	NGC6153	341+05.1 	1.80 	477 	23.4 	61.60 	0.102 	2e-01 	1.45 	1.33
115	NGC6026	341+13.1 	1.30 	22 	42.0 	0.88 	0.132 	4e-02 	4.81 	2.77
116	NGC6072	342+10.1 	0.80 	164 	70.0 	2.37 	0.136 	6e-02 	1.91 	1.23
117	ME2-1	342+27.1	11.20 	30 	7.0 	43.30 	0.190 	6e-01 	5.64 	4.98
118	TC1	345-08.1 	4.00 	801 	9.6 	614.00 	0.093 	4e-01 	1.35 	1.60
119	IC4663	346-08.1 	2.00 	45 	14.4 	15.30 	0.070 	3e-02 	4.23 	3.34
120	IC4699	348-13.1 	6.30 	20 	6.8 	30.60 	0.104 	1e-01 	6.71 	5.71
121	NGC6302	349+01.1 	0.10	3034 	44.6 	108.00 	0.011 	7e-04 	0.60 	0.59
122	NGC6337	349-01.1 	1.50 	103 	47.0 	3.30 	0.171 	1e-01 	2.47 	1.65
123	H2-1	350+04.1 	4.60 	61 	2.2 	891.00 	0.025 	2e-02 	5.05 	6.20
124	M2-7	353+06.1 	4.30 	7 	8.0 	7.73 	0.083 	3e-02	10.16 	7.43
125	H1-9	355+03.2 	7.10 	25 	0.7	3610.00 0.012 	6e-03 	8.82	12.63
126	H1-35	355-03.3 	8.60 	72 	1.1	4210.00 0.023 	3e-02 	5.26 	7.66
127	M1-30	355-04.2 	8.00 	31 	3.8 	152.00 	0.074 	1e-01 	6.14 	6.21
128	M3-21	355-06.1 	7.90 	30 	5.0 	84.80 	0.096 	2e-01 	5.95 	5.66
129	M1-27	356-02.2 	2.00 	63 	8.0 	69.60 	0.039 	1e-02 	4.04 	3.76
130	H1-43	357-04.3 	8.20 	6 	3.0 	47.10 	0.060 	4e-02	12.70	11.32
131	M3-8	358+04.1 	4.80 	20 	2.9 	168.00 	0.034 	2e-02 	7.70 	7.89
132	M1-26	358-00.2 	1.80 	400 	3.2	2760.00 0.014 	7e-03 	2.16 	3.00
133	NGC6563	358-07.1 	2.90 	69 	45.2 	2.39 	0.318 	5e-01 	2.94 	1.89
134	TH3-14	359+04.1 	5.00 	4 	1.4 	144.00 	0.017 	3e-03	17.02	17.15
