No	Name	PK		S5GHz	Diam	Ref	Tb	DMi	DTb	Df	D(VSZ)
109	VV3-6	014-052 	10.0 	1.0 	7 	706.80	11.98	13.47	12.72 	 
110	M1-31	014-071 	9.0 	0.9 	3 	785.33	12.74	14.47	13.60	13.43
111	M1-39	015+031 	100.0 	4.0 	3 	441.75 	3.64 	3.91 	3.78 	 
112	A44	015-031 	10.0 	56.0 	7 	0.23 	6.26 	3.16 	4.71 	 
113	M1-53	015-041 	53.0 	6.0 	7 	104.06 	4.45 	4.14 	4.30 	4.48
114	M1-46	016-011 	81.0 	12.0 	3 	39.76 	3.33 	2.82 	3.08 	2.86
115	M1-54	016-041 	38.0 	13.0 	7 	15.89 	4.52 	3.49 	4.01 	 
116	M1-56	016-042 	22.0 	1.4 	3 	793.35 	8.15 	9.27 	8.71 	8.74
117	M1-52	017-021 	8.0 	8.0 	3 	8.84 	9.41 	6.84 	8.13 	7.26
118	M3-30	017-041 	7.0 	22.0 	3 	1.02 	8.45 	4.96 	6.71 	5.62
119	A51	017-101 	22.0 	67.0 	7 	0.35 	4.37 	2.30 	3.34 	 
120	A65	017-211 	4.0	104.0 	3 	0.03 	8.32 	3.39 	5.86 	4.29
121	M4-8	018+031 	19.0 	1.3 	6 	794.63 	8.77 	9.98 	9.37 	9.26
122	M3-52	018+041 	3.0 	12.0 	7 	1.47	13.31 	8.09	10.70 	 
123	Na1	018+201 	27.0 	8.0 	3 	29.82 	5.65 	4.64 	5.14 	 
124	M3-54	018-021 	8.0 	5.6 	7 	18.03 	9.97 	7.78 	8.87 	 
125	M3-25	019+031 	76.0 	1.3 	3	3178.50 	4.90 	6.40 	5.65 	5.70
126	M4-10	019-021 	33.0 	1.2 	7	1619.70 	7.05 	8.61 	7.83 	 
127	M1-60	019-041 	48.0 	2.6 	2 	501.87 	5.31 	5.78 	5.55 	5.50
128	M1-61	019-051 	97.0 	1.8 	2	2116.00 	4.20 	5.27 	4.73 	4.74
129	A66	019-231 	57.7	266.8 	7 	0.06 	2.33 	1.03 	1.68 	 
130	Sa1-8	020-051 	11.0 	5.6 	2 	24.79 	8.72 	7.03 	7.87 	7.23
131	M3-28	021-001 	33.0 	5.0 	3 	93.30 	5.60 	5.15 	5.37 	5.09
132	M1-51	021-011 	319.0 	15.0 	3 	100.21 	1.81 	1.68 	1.74 	1.66
133	M1-63	021-051 	10.2 	4.2 	7 	40.87 	9.43 	7.98 	8.71 	 
134	M1-57	022-021 	70.0 	8.0 	3 	77.31 	3.78 	3.42 	3.60 	3.40
135	M1-58	022-031 	60.0 	6.4 	7 	103.54 	4.19 	3.89 	4.04 	 
136	K3-11	023-012 	17.0 	3.0 	2 	133.51 	8.03 	7.65 	7.84 	7.48
137	M1-59	023-021 	108.0 	4.8 	2 	331.31 	3.42 	3.58 	3.50 	3.41
